,grid3,positionorder3,points3,fastestlap3,fastestlapspeed3,qposition3,meanlaptime3,fastlaptime3,grid1,positionorder1,points1,fastestlap1,fastestlapspeed1,qposition1,meanlaptime1,fastlaptime1,grid2,positionorder2,points2,fastestlap2,fastestlapspeed2,qposition2,meanlaptime2,fastlaptime2,championship_points
202,1.0,1.0,25.0,31.0,191.99599999999998,1.0,106821.57142857145,102208.0,1.0,1.0,25.0,50.0,209.915,1.0,95070.12068965516,90945.0,1.0,2.0,18.0,45.0,193.50099999999998,1.0,108470.75,103125.0,381.0
203,2.0,2.0,18.0,39.0,191.328,2.0,106834.32142857145,102565.0,2.0,2.0,18.0,47.0,209.577,2.0,95093.56896551725,91092.0,3.0,3.0,15.0,43.0,195.516,3.0,108537.55357142855,102062.0,322.0
204,3.0,3.0,15.0,15.0,190.487,3.0,106874.92857142855,103018.0,4.0,3.0,15.0,52.0,208.74,4.0,95665.34482758619,91457.0,2.0,1.0,25.0,46.0,193.50099999999998,2.0,108317.73214285713,103648.0,278.0
205,6.0,4.0,12.0,48.0,190.472,6.0,106890.05357142855,103026.0,5.0,12.0,0.0,36.0,208.81099999999998,5.0,97947.9,91426.0,11.0,4.0,12.0,40.0,191.644,11.0,109278.83928571428,104124.0,150.0
206,4.0,5.0,10.0,37.0,191.013,4.0,106974.14285714287,102734.0,3.0,4.0,12.0,50.0,208.144,3.0,95728.6724137931,91719.0,7.0,6.0,8.0,40.0,191.891,7.0,109631.76785714287,103990.0,121.0
207,5.0,6.0,8.0,37.0,190.426,5.0,106998.08928571428,103051.0,0.0,18.0,0.0,42.366077016285104,208.25256452010055,6.0,96988.7991676577,91673.9412704173,8.0,5.0,10.0,42.0,191.71,9.0,109575.03571428572,104088.0,136.0
208,8.0,7.0,6.0,34.0,190.27200000000002,8.0,107161.0,103134.0,8.0,14.0,0.0,43.84479735381701,205.9099294480927,9.0,97185.90622844509,92719.5732698738,10.0,11.0,0.0,36.0,190.386,8.0,110809.7818181818,104812.0,51.0
209,9.0,8.0,4.0,46.0,189.248,9.0,107225.58928571428,103692.0,10.0,5.0,10.0,46.0,206.137,11.0,96710.62068965516,92612.0,16.0,12.0,0.0,45.0,192.054,16.0,110855.36363636363,103902.0,121.0
210,7.0,9.0,2.0,46.0,190.06799999999998,7.0,107395.08928571428,103245.0,6.0,6.0,8.0,46.0,205.726,7.0,96926.59649122806,92797.0,4.0,10.0,1.0,42.0,189.482,4.0,110488.3090909091,105312.0,92.0
211,10.0,10.0,1.0,32.0,188.31900000000002,10.0,108801.65454545453,104204.0,15.0,8.0,4.0,51.0,208.505,16.0,97825.49122807015,91560.0,9.0,19.0,0.0,3.0,183.475,10.0,111873.66666666669,108760.0,9.0
