,grid3,positionorder3,points3,fastestlap3,fastestlapspeed3,qposition3,meanlaptime3,fastlaptime3,grid1,positionorder1,points1,fastestlap1,fastestlapspeed1,qposition1,meanlaptime1,fastlaptime1,grid2,positionorder2,points2,fastestlap2,fastestlapspeed2,qposition2,meanlaptime2,fastlaptime2,championship_points
189,9,4,12,53,202.706,9,103561.96428571428,96808,1,3,15,42,211.16,1,93544.3275862069,90409,1,1,25,45,198.661,1,106012.16071428572,100446,397
190,8,5,10,56,200.122,8,103968.39285714287,98058,10,9,2,41,211.654,10,94566.46551724136,90198,7,17,0,43,198.444,8,108208.67924528301,100556,73
191,5,6,8,55,195.68,5,104067.35714285713,100284,4,4,12,38,211.558,4,93737.96551724136,90239,2,5,10,50,199.937,2,106470.16071428572,99805,112
192,7,7,6,55,195.766,7,104100.64285714287,100240,14,19,0,33,210.063,14,95959.2564102564,90881,13,18,0,35,194.527,13,108561.11764705883,102581,20
193,11,8,4,55,196.038,11,104250.51785714287,100101,9,8,4,56,210.033,9,94339.20689655172,90894,15,21,0,19,193.559,15,117395.27272727275,103094,48
194,6,9,2,55,195.137,6,104292.28571428572,100563,8,10,1,41,211.193,8,94585.93103448275,90395,11,6,8,37,197.131,11,106647.23214285713,101226,132
195,10,10,1,31,195.007,10,104348.98214285713,100630,11,22,0,,,11,,,12,8,4,46,198.107,12,106959.375,100727,171
203,12,11,0,55,193.754,12,104478.66071428572,101281,15,11,0,46,212.294,15,94596.41379310343,89926,9,9,2,56,201.159,10,107304.25,99199,49
204,15,12,0,56,195.965,16,104634.80357142855,100138,13,12,0,50,213.309,13,94604.86206896552,89498,17,10,1,45,198.571,17,107567.94642857145,100492,
205,16,13,0,53,199.832,17,105014.39285714287,98200,16,14,0,42,210.594,16,95434.52631578947,90652,18,11,0,54,196.845,18,107594.48214285713,101373,4
206,14,14,0,54,194.354,15,105042.82142857145,100968,17,21,0,12,205.465,17,97001,92915,16,19,0,34,192.865,16,109931.04444444443,103465,1
207,18,15,0,35,193.265,19,105433.05454545456,101537,19,15,0,52,211.055,19,96513.94736842104,90454,19,13,0,47,194.827,19,109002.32727272727,102423,0
208,20,16,0,48,192.393,21,105470.4,101997,22,16,0,55,206.921,22,96765.96428571428,92261,20,14,0,51,193.845,20,109624.90909090909,102942,0
209,19,17,0,39,192.429,20,106122.65454545453,101978,20,17,0,49,207.036,20,97379.51785714287,92210,21,16,0,44,193.454,21,110268.25925925926,103150,0
210,21,18,0,42,191.717,22,106690.74545454542,102357,21,18,0,39,206.084,21,97854.98214285713,92636,22,15,0,44,193.441,22,109788.25454545458,103157,0
211,4,19,0,7,189.823,4,109138.47619047617,103378,6,20,0,18,206.926,6,95153.80769230767,92259,6,4,12,44,198.052,6,106237.875,100755,171
219,22,20,0,12,189.754,14,106630.53333333334,103416,2,6,8,45,212.753,2,93965.94827586207,89732,5,2,18,45,198.19,5,106088.91071428572,100685,199
220,13,21,0,3,188.223,13,107810,104257,12,7,6,49,210.459,12,94280.91379310343,90710,8,20,0,24,194.129,9,113808.70370370375,102791,29
221,17,22,0,2,187.292,18,106847.5,104775,18,13,0,32,208.836,18,95303.80701754386,91415,14,12,0,54,197.711,14,108021.70909090908,100929,6
222,2,1,25,49,200.634,2,104960.40350877194,97108,1,19,0,2,173.636,1,103207.5,100287,1,1,25,53,193.611,1,107606.67857142855,103066,384
223,1,2,18,49,200.816,1,104979.43859649124,97020,3,1,25,19,206.436,3,97872.1052631579,92478,3,2,18,55,191.946,3,107915.83928571428,103960,317
231,4,3,15,36,196.165,5,105382.63157894736,99320,16,10,1,38,206.088,16,99379.40350877194,93366,14,22,0,,,14,,,59
232,13,4,12,38,196.266,3,105390.0350877193,99269,2,22,0,,,2,98302.36842105264,93066,5,16,0,48,190.635,5,112705.02040816328,104675,238
233,11,5,10,37,197.228,12,105463.1052631579,98785,7,6,8,56,206.235,7,98761.8947368421,93210,7,5,10,38,188.284,7,108449.51785714287,105982,317
241,10,6,8,18,196.181,11,105484.59649122806,99312,12,18,0,26,196.682,13,114128,109947,2,3,15,51,191.341,2,108044.78571428572,104289,167
242,7,7,6,40,196.26,8,105508.91228070176,99272,9,20,0,2,190.361,9,,,13,7,6,44,190.232,13,109125.89285714287,104897,134
243,3,8,4,50,195.296,4,105519.63157894736,99762,15,5,10,56,206.128,10,98707.87719298246,92568,18,8,4,31,189.189,15,109134.125,105475,186
244,9,9,2,53,195.355,10,105532.24561403508,99732,5,4,12,57,204.867,5,98491.12280701754,92616,4,4,12,47,191.569,4,108249.39285714287,104165,161
245,5,10,1,35,195.933,6,105547.45614035089,99438,11,7,6,56,204.814,12,98883.94736842104,93691,6,12,0,36,189.812,6,110139.52727272727,105129,55
246,12,11,0,12,194.52,13,105685.70175438595,100160,8,9,2,35,203.387,8,98987.63157894736,92634,11,10,1,36,187.026,11,110096.9818181818,106695,8
